201506,9,신목동,3,0,2155,366,7113,1656,18789,3205,15673,5754,8230,2995,5759,2126,4879,2499,4692,3023,4434,3808,4037,3991,4171,4382,5143,5414,5833,5849,6769,10540,3726,11166,3042,7018,2460,6588,2741,7895,1308,5520,308,2217,,,,,,,20150708
201506,9,염창,4,0,10704,588,26863,4859,65235,9259,63058,20246,36563,11463,23725,9480,20650,9338,20048,11305,18353,12905,15525,14687,15394,17334,16116,21573,18093,27955,23325,46172,14159,56572,10546,37476,9284,33801,8653,34822,4538,26354,882,6711,,,,,,,20150708
201506,9,등촌,1,0,4920,758,13804,3840,41655,8888,41746,18072,20344,13847,15864,11436,15383,10688,15146,10919,15136,11876,13926,13616,14463,15666,16025,18462,16935,20236,19342,31552,11298,35100,9168,21574,8079,17799,7114,17880,3789,11529,845,4512,0,13,,,,,20150708
201506,9,증미,1,0,2300,622,7703,2347,21827,9344,18457,37433,9964,13334,8818,7713,8722,7116,9160,7648,9432,8236,9002,9272,9653,9359,10180,11041,11962,11560,30880,16920,14050,19145,8658,10880,7077,10035,5114,9340,2341,7107,452,2435,1,138,,,,,20150708
201506,9,가양,16,0,13972,1326,31853,9051,78213,23043,70863,37243,39570,22889,28745,16322,27508,16832,27539,18456,26148,20777,24001,22333,24140,25595,29111,28363,30110,33030,38809,52428,23695,63046,16101,44090,15050,35312,11897,39920,5636,26956,1029,9183,0,442,,,,,20150708
201506,9,양천향교,1,0,3855,892,10114,6147,26183,7959,21267,23116,12190,10544,8616,7244,8628,6727,9105,6813,8742,7321,8272,7066,8501,7841,10352,9423,13853,10373,19646,16431,9793,19402,6002,13339,5180,11434,4322,11962,1799,8736,377,3024,0,4,,,,,20150708
201506,9,마곡나루,,,1418,284,3961,3624,9046,1413,8112,2080,3810,1266,2775,1127,2447,1057,2229,1245,2246,1417,1951,1595,1841,1902,2431,2744,3882,3089,2999,4567,1536,5842,1108,3716,652,3740,514,4083,307,3462,79,1309,0,1,,,,,20150708
201506,9,신방화,2,0,4836,600,13799,4908,32618,10702,29528,13345,15852,5731,10719,4989,8991,4727,9480,6046,8624,6723,7894,7449,9975,8775,14146,11031,10893,13614,10679,19937,6388,22915,5059,16071,4395,13850,3620,14947,1496,11457,323,4190,0,29,,,,,20150708
201506,9,공항시장,,,2673,382,4901,1514,9642,2107,10249,4189,6031,3356,4606,2922,4293,3046,4757,3448,4382,3550,4031,4070,3877,5096,3990,5325,4250,6896,5322,9697,3299,10599,2805,7059,2366,5722,1917,6649,1119,5133,266,1731,0,122,,,,,20150708
201506,9,김포공항,6,0,2308,2049,4995,12214,11191,16397,12196,16929,9068,17829,6767,15063,9017,14586,10256,16511,10436,17310,11731,18285,14340,16555,13881,16490,16722,19242,22221,22853,18314,19996,16672,9631,13819,6377,16392,5727,4907,3184,302,1865,0,132,,,,,20150708
